,roles,companies,locations,experience,skills
641,Data Scientist,"NUMERIFY, INC.",Bengaluru,2-7 Yrs,"Computer science
data science
Coding
Machine learning
Tools
Customer service
Data mining
Open source"
642,Data Scientist,Seven Consultancy,Noida,2-5 Yrs,"Cloud computing
component design
Bloomberg
Design development
Programming
Application development
MongoDB
Unit testing"
643,Data Scientist,Shadowfax Technologies Pvt. Ltd.,Gurgaon,1-3 Yrs,"skills
algorithms
data-mining
c
analytical
and
MATLAB
Solid"
644,Data Scientist II,Novartis Healthcare Pvt. Ltd.,Hyderabad,3-7 Yrs,"Automation
Claims
Pharma
Business analytics
Analytical
Strategic planning
Scientist II
SPSS"
645,Data Scientist,staffio HR,"Pune, Mumbai, Hyderabad, Gurgaon",3-8 Yrs,"Unix
Computer science
Prototype
Front end
Analytical
Javascript
PHP
Data mining"
646,Data Scientist R C Python,Crosstab IT Consulting,Mumbai,2-5 Yrs,"C++
Coding
Database design
Data structures
Business intelligence
Troubleshooting
Information technology
Analytics"
647,Data Scientist,Cove Venture,"Mumbai, Guntur",2-5 Yrs,"Unix
Computer science
deep learning
C++
SAS
sap fiori
Analytical
Machine learning"
648,Data Scientist,RedLotus,Mumbai,3-5 Yrs,"Computer science
SAN
Statistical modeling
French
Analytical
Machine learning
Cook
data visualization"
649,Data Scientist Intrrnship in Mumbai,MAXGEN TECHNOLOGIES PRIVATE LIMITED,"Navi Mumbai, Thane, Mumbai(Sector-19D Vashi)",0-0 Yrs,"Data Science
data science internship in panvel
data science internship in kharghar
data science internship in navi mumbai
data science internship in vashi
data science internship in nerul
data science internship in sanpada"
650,Data Scientist,Boppo Technologies Pvt. Ltd.,Mumbai,1-3 Yrs,"C++
Operations research
Analytical
Machine learning
data visualization
Data mining
Business intelligence
Statistics"
651,Data Scientist,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,"Jamshedpur, Mumbai, Bengaluru",2-7 Yrs,"Data analysis
Data management
HTML
HTTP
Information management
Data mining
Econometrics
Information technology"
652,Data scientist,Meyrahkee,"Pune, Mumbai, Bengaluru",3-7 Yrs,"Computer science
GCP
Machine learning
Cloud
Manager Technology
Workflow
E-commerce
Data quality"
653,Senior Manager I - Data Scientist,Walmart,Other,0-5 Yrs,NA
654,Data Scientist,Fluidscapes Consultants Pvt. Ltd.,Mumbai,2-7 Yrs,"Training
data science
Artificial Intelligence
Machine learning
Management
Data mining
big data
MATLAB"
655,Specialist - Supply Chain Management (Data Scientist) MT,Tata Communications Ltd,Mumbai,5-7 Yrs,"Procurement
Supply chain management
Technology management
operations
Managed services
Fixed assets
Process improvement
Presales"
656,Data Scientist,Seven Consultancy,Delhi,2-7 Yrs,"advanced analytics
Renewable energy
data science
big data analytics
Analytical
Workflow
model development
Deployment"
657,Data Scientist - R / C + + / Python,Crosstab IT Consulting,Mumbai,2-5 Yrs,"C++
Coding
Database design
Data structures
Business intelligence
Troubleshooting
Analytics
SQL"
658,Data Scientist,Walmart,Other,0-5 Yrs,NA
659,Data Scientist - CrossTab IT Consulting,Crosstab IT Consulting,Mumbai,2-5 Yrs,"C++
Coding
Database design
Data structures
Business intelligence
Troubleshooting
Analytics
SQL"
660,Data Scientist,Sentieo,Delhi,2-7 Yrs,"Text mining
Logistic regression
Equity research
Machine learning
Data collection
Hypothesis Testing
Workflow
data visualization"
661,Senior Associate Data Scientist,Medline Industries India Private Limited,Pune,2-4 Yrs,"Data Science
R
NLP
Statistical Modeling
Information Retrieval
Machine Learning
Deep Learning
Predictive Analytics"
662,Data Scientist - Python - BFS - IIT/ DSE/ IIM/ NIT,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",2-5 Yrs,"Data Science
Data Scientist
Data Visualization
Data Modeling
Python"
663,Data Scientist Jobs,Right Step Consulting,Noida,1-5 Yrs,"Visualization
Analytical
Calculus
Business intelligence
Forecasting
SQL
Python
AnalyticsSoftware services"
664,Data Scientist,Shadowfax Technologies Pvt. Ltd.,Gurgaon,1-3 Yrs,"skills
algorithms
data-mining
c
analytical
and
MATLAB
Solid"
665,Data Scientist / Analyst,Hyrefox,Jaipur,2-7 Yrs,"Business objects
Google Analytics
Coding
MySQL
Machine learning
Predictive modeling
Data mining
Business solutions"
666,Urgent requirement For Data Scientist Position,Walchandnagar Industries Ltd.,Pune,2-5 Yrs,"SAP
Data Analyst
Power Builder
Data scinetist
Python"
667,Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Mumbai,2-7 Yrs,"Unix
Linux
Machine learning
HTML
Perl
Predictive analytics
Ruby
SQL"
668,Data Scientist,NEEMTREE INTERNET PVT LTD,Mumbai,2-5 Yrs,"Supply chain
Computer science
C++
MySQL
Machine learning
Javascript
Data structures
Data mining"
669,Data Scientist,ALLERIN TECHNOLOGIES Pvt Ltd.,Mumbai,2-7 Yrs,"Computer science
Data analysis
Tracking
Machine learning
Tools
Data collection
MSC
Data mining"
670,Analyst Data Scientist,CAMSDATA Technologies India Pvt Ltd,"Chennai, Pune, Mumbai, Bengaluru, Hyderabad",3-8 Yrs,"Computer science
Evaluation
Data analysis
Email
Data management
Tools
Information retrieval
Data processing"
671,Data Scientist,The Talent GPS,Mumbai,2-7 Yrs,"Computer science
Operations research
NoSQL
Machine learning
SCALA
data visualization
Forecasting
SQL"
672,Data Scientist - NLP/ R/ Python,The Hiring Story,Hyderabad,2-5 Yrs,"Data Science
R
NLP
NoSQL
Text Analytics
Information Retrieval
Text Mining
Data Analytics"
673,Data Scientist,Talentstack Consulting Private Limited,Mumbai,2-6 Yrs,"python
r
tableau
data analysis
data science
data mining
sql"
674,Senior Manager I - Data Scientist,Walmart,Other,0-5 Yrs,NA
675,Data Scientist,Hyrefox,Jaipur,2-5 Yrs,"data science
Machine learning
Programming
data visualization
Data mining
Open source
MATLAB
SQL"
676,Data Scientist,ALLERIN TECHNOLOGIES Pvt Ltd.,"Navi Mumbai, Mumbai",2-7 Yrs,"Computer science
Data analysis
Machine learning
Data collection
Predictive modeling
Data mining
big data
MATLAB"
677,Analyst - Data Scientist,Hyrefox,Gurgaon,1-3 Yrs,"BPO
Automation
Project management
Analytical
ITES
Data mining
Forecasting
Operations"
678,Business Analyst - Data Scientist,Hyrefox,Gurgaon,3-5 Yrs,"BPO
Automation
Project management
Analytical
ITES
Data mining
Forecasting
Operations"
679,Data Scientist,Hyrefox,Jaipur,2-5 Yrs,"Computer science
Data analysis
Operations research
MySQL
Machine learning
Data structures
Data mining
Software services"
680,Senior Data Scientist,Baker Hughes Incorporated,Bengaluru,3-8 Yrs,"Computer science
Data analysis
SAS
Coding
Agile
Perl
Ruby
Distribution system"
681,Data Scientist,Seven Consultancy,Hyderabad,3-5 Yrs,"Computer science
advanced analytics
Data management
Renewable energy
data science
big data analytics
Analytical
Workflow"
682,Data Scientist,Hyrefox,Jaipur,2-5 Yrs,"data science
Machine learning
Programming
data visualization
Data mining
Open source
MATLAB
SQL"
683,HiTech iSolutions LLP:: Data Scientist,Hi-Tech iSolutions LLP,"Pune, Ahmedabad",3-6 Yrs,"Data Science
R
Machine Learning
Python"
684,DATA SCIENTIST,Weatherford (CPS) DPS India,Mumbai,2-6 Yrs,"Computer science
GIT
Linux
Machine learning
Agile
Workflow
HTTP
SQL"
685,Analyst Data Scientist,CAMSDATA Technologies India Pvt Ltd,"Chennai, Pune, Mumbai, Bengaluru, Hyderabad",3-8 Yrs,"Computer science
Evaluation
Data analysis
Email
Data management
Tools
Information retrieval
Data processing"
686,Data Scientist,NOVIQUE HEALTH,"Pune, Delhi, Mumbai",2-7 Yrs,"data science
Insurance claims
Machine learning
Clinical trials
Healthcare
Product sales
Biochemistry
Open source"
687,Data Scientist,Bprise,Mumbai,3-7 Yrs,"Data analysis
data science
Neural networks
Analytical
Machine learning
Data collection
Data mining
big data"
688,Data Scientist,Toucon Consulting,Mumbai,1-5 Yrs,"Computer vision
deep learning
Opencv
Machine learning
Packaging
Data structures
Calculus
Statistics"
689,Data Scientist,Denave India Pvt Ltd.,India,2-5 Yrs,"Computer science
Data analysis
Team management
RDBMS
Machine learning
Information retrieval
Business intelligence
Data mining"
690,Data Scientist,Bloom Consulting Services,Bengaluru,2-5 Yrs,"rest
algorithms
python
Risk analytics
testing
Financial services
sql
Data architecture"
691,Data Scientist,EVC Ventures,Gurgaon,3-5 Yrs,"algorithms
python
css
rdbms
Forecasting
sql
nosql
Logistic regression"
692,Data Scientist,PNR Software Solutions Private Limited,Kolkata,2-6 Yrs,"data science
SAS
Analytical
Data collection
SPSS
QlikView
Oracle
Data mining"
693,Data Scientist,Blackcoffer,"Delhi, Bengaluru",2-5 Yrs,"Data Scientist
science
Scientist
Data"
694,Data Scientist,EVC LAB PRIVATE LIMITED,Gurgaon,3-5 Yrs,"Logistic regression
deep learning
RDBMS
Neural networks
Analytical
Machine learning
Forecasting
SQL"
695,Data Scientist,Sapalogy Pvt. Ltd.,maharashtra,2-3 Yrs,"Statistical analysis
SAP consulting
data science
Machine learning
Data collection
Data mining
MATLAB
Statistics"
696,Data Scientist,VSigma IT Labs Pvt. Ltd.,Hyderabad,2-5 Yrs,Data Scientist
697,Data Scientist,Cubois Technologies Private Limited,Pune,3-8 Yrs,"Backend
Front end
html5
MySQL
Javascript
Routing
Management
IOS"
698,Lead-Data Scientist,KRISHPAR TECHNOLOGIES PRIVATE LIMITED,"Chennai, Bengaluru",2-6 Yrs,"Computer vision
Image processing
Neural networks
Machine learning
Signal processing
Programming
Supervision
Python"
699,Data Scientist,DEWII,Gurgaon,2-7 Yrs,"Hospitality
Computer vision
Artificial Intelligence
Machine learning
Manager Technology
Facility management
Monitoring
SQL"
700,Data Scientist,AXCESS CONSULTANCY SERVICES,Delhi,2-5 Yrs,"Statistical modeling
Renewable energy
Artificial Intelligence
Machine learning
Intellectual property
Algorithm development
Data structures
Natural language processing"
701,Data Scientist,MENORAH PERSONNEL MANAGEMENT INDIA PRIVATE LIMITED,Chennai,3-7 Yrs,"R Programming
Machine learning
Programming
Statistics
Python"
702,Data Scientist,PNR Software Solutions Private Limited,Kolkata,2-6 Yrs,"data science
SAS
Analytical
Data collection
SPSS
QlikView
Oracle
Data mining"
703,Data Scientist,Meesho,Bengaluru,1-3 Yrs,"Computer science
Neural networks
spark
Machine learning
Hadoop
E-commerce
big data
SQL"
704,TTEC - Data Scientist,TTEC,Hyderabad,1-3 Yrs,"Computer science
MS Office suite
SAN
French
SAS
Consulting
Machine learning
SMS"
705,Data Scientist,ETAIOTA Systems,Bhubaneshwar,2-5 Yrs,"Logistic regression
Data analysis
Simulation
Machine learning
Data mining
Econometrics
Analytics
Financial services"
706,Data Scientist,Agiletech Info Solutions,Chennai,3-8 Yrs,Data Scientist
707,Data Scientist,Emerging India Group,"Delhi, Noida",3-8 Yrs,"Social media analytics
Time series analysis
Analytical
Machine learning
Data collection
power bi
QlikView
Data mining"
708,Data Scientist Junior,AgNext Technologies ( India's leading Agri Tech driven Company),"Mohali, Gurgaon",2-7 Yrs,"Computer vision
deep learning
Literature
Image processing
Artificial Intelligence
Machine learning
Deployment
Food processing"
709,Data Scientist-Analytics & Insights,Hiring Joint,Noida,3-6 Yrs,"Supply chain
Data analysis
Analytical
Machine learning
Data processing
Data structures
Data mining
Operations"
710,Data Scientist,torcai digital media,Pune,3-6 Yrs,"Data analysis
data science
Machine learning
Mentor
Statistics"
711,Senior Data Scientist - Natural Language Processing,TNS holdings,Hyderabad,3-8 Yrs,"Text mining
Logistic regression
metadata
data science
Neural networks
Machine learning
Agile
Natural language processing"
712,Data Scientist,Dewi,Gurgaon,2-7 Yrs,"Hospitality
Computer vision
Artificial Intelligence
Machine learning
Manager Technology
Facility management
Monitoring
SQL"
713,Data Scientist,Seven Consultancy,Noida,4-6 Yrs,"Cloud computing
Linux
Bloomberg
Finance
Design development
Programming
Deployment
MongoDB"
714,Data Scientist,AXCESS CONSULTANCY SERVICES,Delhi,2-5 Yrs,"Statistical modeling
Renewable energy
Artificial Intelligence
Machine learning
Intellectual property
Algorithm development
Data structures
Natural language processing"
715,Lead / principal Data Scientist,AXCESS CONSULTANCY SERVICES,Bengaluru,0-5 Yrs,"Operations research
Analytical
Machine learning
linear regression
Data quality
Oracle
Data mining
Digital marketing"
716,Data Scientist,AXCESS CONSULTANCY SERVICES,Gurgaon,0-4 Yrs,"Product management
SAS
Coding
Bfsi
MySQL
Data structures
Analytics
Monitoring"
717,Data Scientist | Academic Operations,AXCESS CONSULTANCY SERVICES,Bengaluru,1-5 Yrs,"data cleansing
Automation
Data analysis
Operations Manager
data science
Manager Program Management
Data collection
Feasibility analysis"
718,Data Scientist _ Senior,AXCESS CONSULTANCY SERVICES,Kochi,1-5 Yrs,"Data analysis
Business analytics
Consulting
Machine learning
Data collection
Agile
Business intelligence
Information technology"
719,Data Scientist,AXCESS CONSULTANCY SERVICES,Pune,0-5 Yrs,"data cleansing
Automation
Data analysis
data science
Manager Program Management
Artificial Intelligence
Data collection
Feasibility analysis"
720,Data Scientist,Snaphunt,Bengaluru,3-8 Yrs,"C++
C
Tableau
Data Analytics
Machine Learning
Statistical Analysis
Statistics
Deep Learning"
721,Data Scientist,AXCESS CONSULTANCY SERVICES,Bengaluru,0-5 Yrs,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
722,Data Scientist,Diverse Lynx India Pvt. Ltd,Bengaluru,2-7 Yrs,"data science
Python"
723,Data Scientist,Blackcoffer,"Delhi, Bengaluru",2-5 Yrs,"Data Scientist
science
Scientist
Data"
724,Data Scientist,CAPITALCLOUD INDIA PRIVATE LIMITED,Bengaluru,2-4 Yrs,"Anomaly Detection
Predictive Modeling
bigdata
Text Analytics
Hadoop
Data Analysis
Data Mining
Spark"
725,Data Scientist,Intellectyx Inc,Coimbatore,2-7 Yrs,"deep learning
Python"
726,Data Scientist,RevenueCat,Remote,2-7 Yrs,"Data modeling
Database
Programming
Infrastructure
Wellness
Data warehousing
Product marketing
SQL"
727,Data Scientist,AGUILASS,"Hyderabad, Gurgaon",3-6 Yrs,"spark
SCALA
Machine learning
Hadoop
Data Analyst
Business intelligence
big data
Predictive analytics"
728,Data Scientist,Tenzai,Bengaluru,3-8 Yrs,"Statistical modeling
Prototype
Analytical
Machine learning
data visualization
big data
MATLAB
Analytics"
729,Lead-Data Scientist,KRISHPAR TECHNOLOGIES PRIVATE LIMITED,"Chennai, Bengaluru",2-6 Yrs,"Computer vision
Image processing
Neural networks
Machine learning
Signal processing
Programming
Supervision
Python"
730,Data Scientist,DEWII,Gurgaon,2-7 Yrs,"Hospitality
Computer vision
Artificial Intelligence
Machine learning
Manager Technology
Facility management
Monitoring
SQL"
731,Data scientist,Multi Recruit,Bengaluru,3-5 Yrs,"deep learning
data science
Application programming
Consulting
Social networking
Fraud analytics
Data structures
Research"
732,Data Scientist,Cubois Technologies Private Limited,Pune,3-8 Yrs,"Backend
Front end
html5
MySQL
Javascript
Routing
Management
IOS"
733,Data Scientist,Miles,Bengaluru,2-7 Yrs,"Geometry
Version control
GIT
data science
Postgresql
Machine learning
Database
Scheduling"
734,Data Scientist,VSigma IT Labs Pvt. Ltd.,Hyderabad,2-5 Yrs,Data Scientist
735,Data Scientist,O9 SOLUTIONS MANAGEMENT INDIA PRIVATE LIMITED,Bengaluru,3-5 Yrs,"Pytorch
Tensorflow
Anomaly Detection
Data Science
R
Supply Chain Planning
Demand Planning
Keras"
736,Data Scientist,Eyeota,Pune,2-7 Yrs,"Computer science
GCP
data manipulation
Machine learning
Agile
big data
AWS
Analytics"
737,Data Scientist,AXCESS CONSULTANCY SERVICES,Pune,0-5 Yrs,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
738,Data Scientist,AXCESS CONSULTANCY SERVICES,"Gurgaon, haryana",0-5 Yrs,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
739,Data Scientist,AXCESS CONSULTANCY SERVICES,Chennai,0-5 Yrs,"E-learning
Automation
Data analysis
tableau
Operations Manager
data science
Manager Program Management
Machine learning"
740,Data Scientist,Snaphunt,Bengaluru,3-8 Yrs,"C++
C
Tableau
Data Analytics
Machine Learning
Statistical Analysis
Statistics
Deep Learning"
741,Data Scientist,AXCESS CONSULTANCY SERVICES,Delhi,2-5 Yrs,"Statistical modeling
Renewable energy
Artificial Intelligence
Machine learning
Intellectual property
Algorithm development
Data structures
Natural language processing"
742,Data Scientist,Diverse Lynx India Pvt. Ltd,Bengaluru,1-5 Yrs,"deep learning
data science
Analytics
Python"
743,TTEC - Data Scientist,TTEC,Hyderabad,1-3 Yrs,"Computer science
MS Office suite
SAN
French
SAS
Consulting
Machine learning
SMS"
744,Data Scientist,ETAIOTA Systems,Bhubaneshwar,2-5 Yrs,"Logistic regression
Data analysis
Simulation
Machine learning
Data mining
Econometrics
Analytics
Financial services"
745,Data Scientist,Analytos,India,2-4 Yrs,"Text mining
deep learning
NoSQL
RF
data science
Data research
Data modeling
Manager Technology"
746,Data Scientist,Tenzai,Bengaluru,3-8 Yrs,"Statistical modeling
Prototype
Analytical
Machine learning
data visualization
big data
MATLAB
Analytics"
747,Data Scientist Junior,AgNext Technologies ( India's leading Agri Tech driven Company),"Mohali, Gurgaon",2-7 Yrs,"Computer vision
deep learning
Literature
Image processing
Artificial Intelligence
Machine learning
Deployment
Food processing"
748,Data Scientist,Emerging India Group,"Delhi, Noida",3-8 Yrs,"Social media analytics
Time series analysis
Analytical
Machine learning
Data collection
power bi
QlikView
Data mining"
749,Data Scientist,Intellectyx Inc,Coimbatore,2-7 Yrs,"deep learning
Python"
750,Data Scientist,CAPITALCLOUD INDIA PRIVATE LIMITED,Bengaluru,2-4 Yrs,"Anomaly Detection
Predictive Modeling
bigdata
Text Analytics
Hadoop
Data Analysis
Data Mining
Spark"
751,Data Scientist,TRUECONNECT PEOPLE CONSULTING,Kolkata,2-7 Yrs,"Data Engineering
Data Integration"
752,Data Scientist,Ank Aha Private Limited,Delhi,2-7 Yrs,"Graphics
Policies
Algorithms
MySQL
Machine learning
Hypothesis Testing
SPSS
Econometrics"
753,Data Scientist,Eyeota,Pune,2-7 Yrs,"Computer science
GCP
data manipulation
Machine learning
Agile
big data
AWS
Analytics"
754,Data Scientist,torcai digital media,Pune,3-6 Yrs,"Data analysis
data science
Machine learning
Mentor
Statistics"
755,Data Scientist-Analytics & Insights,Hiring Joint,Noida,3-6 Yrs,"Supply chain
Data analysis
Analytical
Machine learning
Data processing
Data structures
Data mining
Operations"
756,Junior Data Scientist,AICHUNKS Private Limited,Chandigarh,1-6 Yrs,Machine learning
757,Data Scientist,O9 SOLUTIONS MANAGEMENT INDIA PRIVATE LIMITED,Bengaluru,3-5 Yrs,"Pytorch
Tensorflow
Anomaly Detection
Data Science
R
Supply Chain Planning
Demand Planning
Keras"
758,Data Scientist,VARIATION COMPUSOLUTION LLP,Pune,1-6 Yrs,"analytics
deep learning
python
tensorflow
nlp
neural networks
machine learning
technical skills"
759,Data Scientist,AXCESS CONSULTANCY SERVICES,Gurgaon,0-4 Yrs,"Product management
SAS
Coding
Bfsi
MySQL
Data structures
Analytics
Monitoring"
760,Trainee Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Pune,3-8 Yrs,"Social media analytics
Excel
data science
SAS
Data management
HTML
Predictive modeling
SPSS"
761,Data Scientist,QubeRoot Analytics,Bengaluru,3-8 Yrs,"Computer science
Business objects
Data analysis
Simulation
Bfsi
MySQL
Healthcare
Data mining"
762,Data Scientist,Valence Health,Pune,3-6 Yrs,"Computer science
Administration
Claims
Analytical
Pharmacy
Machine learning
Healthcare
Analytics"
763,Data Scientist,Skillsoft,Hyderabad,1-3 Yrs,"Process design
Logistic regression
NPV
Agile
Predictive modeling
Continuous improvement
Business solutions
Talent management"
764,Data Scientist - IT,GridEdge Technologies,Pune,1-5 Yrs,"Computer science
Analytical
Machine learning
Data collection
Perl
data visualization
Data mining
MATLAB"
765,A Data Scientists,CareerXperts Consulting,Pune,2-5 Yrs,"Computer science
Data analysis
Operations research
SAS
Linux
Business analytics
Social media
Data mining"
766,Sr. DATA SCIENTIST,defour analytics,Pune,3-8 Yrs,"Automation
Project management
Pharma
Analytical
Tools
data visualization
Data mining
Automotive"
767,Data Scientist,XIUS,Hyderabad,1-3 Yrs,"deep learning
Analytical
Agile development
Machine learning
Deployment
Forecasting
Analytics
Supervision"
768,Data Scientist,R3coder,Ahmedabad,1-6 Yrs,"github
Web technologies
Architecture
Artificial Intelligence
Machine learning
PHP
Customer experience
Internship"
769,Data Scientist,MIC Business Labs Pvt Ltd.,Meerut,2-7 Yrs,"Help Desk
Customer Service
customer relationship
access controls
Telephony support
Asset Management
Vendor Management
Information"
770,Data Scientist,MTW LABS INNOVATIONS INDIA PRIVATE LIMITED,Hyderabad,1-5 Yrs,"Data analysis
SAS
Data modeling
Machine learning
SCALA
Agile
Data mining
JIRA"
771,Data Scientist,Talentstack Consulting Private Limited,Bengaluru,2-6 Yrs,"python
r
tableau
data analysis
data science
data mining
sql"
772,Data Scientist,NICE Ltd,Pune,3-6 Yrs,"Computer science
Automation
SAS
SPSS
Data mining
Risk management
Business intelligence
Macros"
773,Machine Learning & Data Scientist - R/python,3D India Staffing Research Consulting Pvt Ltd,Gurgaon,5-8 Yrs,"Java
Business Intelligence
R
ETL Tools
SCALA
Data Mining
Perl
Machine Learning"
774,Most urgent vacancy For Data Scientist-Mumbai,Genius Consultants Limited,Mumbai,5-10 Yrs,"Data Scientist
Machine Learning
sr.data scientist
Deep Learning"
775,Data Scientist,Aditech IT and Consultancy Services Pvt Ltd,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Kolkata",4-9 Yrs,"SAS
Scala
Artificial Intelligence
AI
Random Forests
SVM
Machine Learning
Deep Learning"
776,Jr Data Analyst / Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Hyderabad,2-7 Yrs,"NoSQL
data science
RDBMS
cassandra
HTML
Data mining
SDLC
Analytics"
777,Data Scientist,Talentstack Consulting Private Limited,Delhi NCR,2-6 Yrs,"python
r
tableau
data analysis
data science
data mining
sql"
778,Data Scientist,NICE Ltd,Pune,3-6 Yrs,"Computer science
Automation
SAS
SPSS
Data mining
Risk management
Business intelligence
Macros"
779,Data Scientist - Quality Assurance,NICE Ltd,Pune,3-5 Yrs,"Data analysis
Manager Quality Assurance
data science
Analytical
Machine learning
Anti money laundering
OLAP
Analytics"
780,Trainee Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Pune,3-8 Yrs,"Social media analytics
Excel
data science
SAS
Data management
HTML
Predictive modeling
SPSS"
781,Data Scientist,itForte Staffing Services Private Ltd.,Gurgaon,3-8 Yrs,"Text mining
Computer science
deep learning
Data analysis
Machine learning
Data collection
Agile
Investment management"
782,Associate Data Scientist,Augmance AI Labs Private Limited,Bengaluru,1-6 Yrs,"Nltk
Data Science
r
NLP
Artificial Intelligence
Keras
Marketing Analytics
Machine Learning"
783,Data Scientist,QubeRoot Analytics,Bengaluru,3-8 Yrs,"Computer science
Business objects
Data analysis
Simulation
Bfsi
MySQL
Healthcare
Data mining"
784,Data Scientist - Artificial Intelligence/ Machine Learning- Noida,Shriv ComMedia Solutions Pvt. Ltd.,Noida(Sector-63 Noida),3-5 Yrs,"Data Science
Artificial Intelligence
Machine Learning
Deep Learning"
785,Data Scientist - IT,GridEdge Technologies,Pune,1-5 Yrs,"Computer science
Analytical
Machine learning
Data collection
Perl
data visualization
Data mining
MATLAB"
786,Data Scientist,Mahajan Imaging,Delhi,2-6 Yrs,"Medical imaging
Focus
Clinical research
Data analytics
informatics
SQL"
787,Data Scientist,Reubro International,Kochi,3-8 Yrs,"sap
data management
data mining
solutions
operations research
api
machine learning
sql"
788,Data Scientist,R3coder,Ahmedabad,1-6 Yrs,"github
Web technologies
Architecture
Artificial Intelligence
Machine learning
PHP
Customer experience
Internship"
789,Data Scientist,Right Steps Consultancy,Pune,1-5 Yrs,"Data management
data science
Analytical
Machine learning
Research
Management
big data
Testing"
790,Data Scientist,MTW LABS INNOVATIONS INDIA PRIVATE LIMITED,Hyderabad,1-5 Yrs,"Data analysis
SAS
Data modeling
Machine learning
SCALA
Agile
Data mining
JIRA"
791,Data Scientist,Analytos,India,2-4 Yrs,"Text mining
deep learning
NoSQL
RF
data science
Data research
Data modeling
Manager Technology"
792,"Data Scientist /Data Science Engineer with MNC, HYD/ BNG/ Delhi NCR",M Associates IT Services Pvt. Ltd.,"Delhi NCR, Bengaluru, Hyderabad",2-6 Yrs,"python
c++
c
java
data science
Data science engineer
Data Scientist
linux"
793,Data Scientist,Ank Aha Private Limited,Delhi,2-7 Yrs,"Graphics
Policies
Algorithms
MySQL
Machine learning
Hypothesis Testing
SPSS
Econometrics"
794,Data Scientist - NLP(Natural Language Processing),KEYS Inc,Coimbatore,3-8 Yrs,"Computer science
deep learning
Skill development
Social media
Machine learning
Hadoop
Programming
Natural language processing"
795,Hiring a Part-time Supporter For Data Analyst or Data scientist,Platinus Technologies Private Limited,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad, Kolkata",5-10 Yrs,"Data Scientist
Data Analyst"
796,"Machine Learning , Data Scientist",Maestro Placement Consultancy Services,Mumbai,10-15 Yrs,"GIS
deep learning
Data modeling
Analytical
Machine learning
FMCG
microsoft
big data"
797,Jr Data Analyst / Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Hyderabad,2-7 Yrs,"NoSQL
data science
RDBMS
cassandra
HTML
Data mining
SDLC
Analytics"
798,Junior Data Scientist,Analytos,India,0-2 Yrs,"Text mining
deep learning
NoSQL
RF
data science
Data research
Data modeling
Manager Technology"
799,Data Analyst / Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Noida,0-4 Yrs,"data science
Manager Technology
HTML
Mathematics
Data Analyst
SPSS
Statistics
Analytics"
800,Data Analyst / Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Noida,0-4 Yrs,"data science
Manager Technology
HTML
Mathematics
Data Analyst
SPSS
Statistics
Analytics"
801,Data Scientist,itForte Staffing Services Private Ltd.,Gurgaon,3-8 Yrs,"Text mining
Computer science
deep learning
Data analysis
Machine learning
Data collection
Agile
Investment management"
802,Data Scientist,The Art Of Living Human Resource,Coimbatore,3-6 Yrs,"Statistical analysis
Artificial Intelligence
Programming
MongoDB
HR
Management
Data mining
Statistics"
803,Senior Data Scientist,TechVantage Systems Private Limited,Trivandrum,2-5 Yrs,"Computer science
data cleansing
deep learning
Product engineering
Machine learning
Predictive modeling
data visualization
Data mining"
804,ML Engineer/Statistician/Data Scientist Pre - IPO Unicorn,CareerXperts Consulting,Bengaluru,3-5 Yrs,"Computer science
Analytical skills
Consulting
Machine learning
Data structures
Mathematics
Open source
big data"
805,Data Scientist,Sequretek IT Solutions Pvt. Ltd.,Bengaluru,1-4 Yrs,"IT Skills
Python
Data Science
Machine Learning
Computer science
algorithms
python
data security"
806,Data Scientist,Guavus Network Systems Pvt. Ltd.,Gurgaon,1-6 Yrs,Data Scientist
807,Data Scientist,Telarix,Bengaluru,2-5 Yrs,"volte
Roaming
Management"
808,Data Scientist,Zyoin Web Pvt.Ltd,Bengaluru,2-6 Yrs,"Cluster analysis
Demand forecasting
Machine learning
big data
Statistics
Python"
809,Data Scientist,Lymbyc,Bengaluru,3-5 Yrs,"Computer science
Computer vision
Operations research
google api
Machine learning
SCALA
Natural language processing
Data mining"
810,Data Scientist,Yoodle,Bengaluru,1-5 Yrs,"Computer science
Manager Quality Assurance
Neural networks
Machine learning
Data processing
Natural language processing
Predictive modeling
MATLAB"
811,Data Scientist (Full time),Vicit Infot Tech,Bengaluru,2-7 Yrs,"data science
Machine learning
Linguistics
Tools
Time
Natural language processing
Open source"
