,roles,companies,locations,experience,skills
447,Senior Data Scientist,JoinHandsHR,Mumbai,3-8 Yrs,"Data Scientist
Data Analyst"
448,Data Scientist / Analyst,Adoro,Mumbai,2-5 Yrs,"Computer science
Basic
Senior Analyst
Statistical software
MATLAB
Statistics
SQL
Python"
449,Data Scientist,VEHERE INTERECTIVE PVT LTD,Kolkata,5-9 Yrs,"Computer science
deep learning
cyber security
Machine learning
Data structures
Troubleshooting
Data mining
Analytics"
450,Lead Data Scientist,Proliant Infotech Pvt Ltd,Bengaluru,7-12 Yrs,"IT services
C++
Image processing
Analytical
Machine learning
Outsourcing
Data mining
Analytics"
451,Senior Data Scientist,vElement Technology Pvt Ltd,Pune,7-12 Yrs,"Process automation
SAP
data science
Javascript
HTML
JSON
microsoft
Order processing"
452,Sr. Data Scientist,Pegasus Knowledge Solutions India Private Limited,Bengaluru,5-10 Yrs,"Process design
Outbound
SAS
Analytical
Machine learning
Anova
SPSS
Data mining"
453,Data Scientist,Robonomics AI,Bengaluru,8-13 Yrs,"deep learning
Time series analysis
Machine learning
Predictive modeling
Design analysis
Performance improvement
Python"
454,Data Scientist,Ancla Consultancy Services India Pvt Ltd,Hyderabad,6-12 Yrs,"Location: Hyderabad
Data Scientist
Experience: 6-12 yrs"
455,Senior Data Scientist,Glass Cube consulting private limited,Bengaluru,5-10 Yrs,"Computer science
Bfsi
Consulting
Machine learning
Asset management
Outsourcing
Business intelligence
Data mining"
456,Data Scientist Delivery Lead,Scouters Pvt Ltd.,India,4-7 Yrs,"BPO
client management
algorithms
python
Prototype
SAS
Data mining
Analytics"
457,Senior Data Scientist,ExecBoardinAsia,Bengaluru,5-10 Yrs,"Deployment
Project planning
Monitoring"
458,Data Scientist,Angel Broking Limited,Mumbai,3-8 Yrs,"data science
R Programming
Machine learning
Programming
Data quality
data visualization
big data
Statistics"
459,Lead Data Scientist,Brillio Technologies Pvt. Ltd,Bengaluru,5-8 Yrs,"deep learning
Data analysis
SAS
Simulation
Time series analysis
Network analysis
Machine learning
Subject Matter Expert"
460,Associate Data Scientist,Right Step Consulting,Noida,3-6 Yrs,"E-learning
Linux
Data management
Javascript
Tools
Business intelligence
Digital marketing
Analytics"
461,Data Scientist,Hyrefox,Chennai,2-7 Yrs,"Script writing
spark
Analytical
SCALA
Data processing
big data
Analytics
Software services"
462,Data Scientists,Bloom Consulting Services,Bengaluru,2-5 Yrs,"Computer science
Risk analytics
Online marketing
Machine learning
Risk management
Operations
Financial services
SQL"
463,Principal Data Scientist,AXCESS CONSULTANCY SERVICES,Delhi,0-3 Yrs,"Computer science
Data analysis
Machine learning
SCALA
Apache
microsoft
Adobe
Data mining"
464,Data Scientist,GAUGE DATA SOLUTIONS PVT LTD,Noida,2-7 Yrs,Data Scientist
465,Senior Data Scientist,lgoAnalytics,Pune,3-4 Yrs,"data science
Bfsi
Senior
Machine learning
Writing
Service
Time
Statistics"
466,Senior Data Scientist,JoinHandsHR,Mumbai,3-8 Yrs,"Data Scientist
Data Analyst"
467,Data Scientist,dataspire Technologies Private Limited,Coimbatore,2-5 Yrs,"C++
Data analysis
development
Prototype
large
software
Tools
developing"
468,Senior Data Scientist,Intellithink,Chennai,2-5 Yrs,"data cleansing
Machine learning
Programming
Predictive modeling
big data
SQL
Python"
469,Data Scientist and Data Engineer,Squircle IT Consulting Services Pvt Ltd,Chennai,3-7 Yrs,"Product management
Algorithms
Prototype
Data modeling
Machine learning
Algorithm development
Grammar
Subject Matter Expert"
